                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     850                                     1782                  2.0000000000000000E+001                  2.0000000000000005E-003                  4.4047425959294392E+006                  8.4136449374615559E-003                  1.8011140623206299E+005                  6.6706058871916938E+005                  8.3996084855706155E-001                  6.4082481551646420E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6604185763592106E-013                  1.0495633856966210E-010                  0.0000000000000000E+000                  8.1495084383941230E-001                  1.3022355058863288E-004                  1.7611407688641847E+001                 -4.2907448710296030E-006                  1.3606086524271186E-023                  9.6057113762892530E-023                  1.7176255665214679E+000                  2.7837510547210527E+000                  1.2954634640814666E-004                  1.1428140292650530E+001                  1.3238288997010512E+000                  1.7611407688641847E+001                  1.2651488015869706E+001                  3.0714722587260317E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8366444955687161E+003                  1.2994014719845922E+004                  2.6401511326666310E+005                  6.6460377431455772E+010                  1.2528338822960655E-007                  2.8218627615636725E+009                  9.8714997195237366E+010                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3900552748325477E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                                    logT                                   logRho                                     logP                               luminosity                                 velocity                         conv_mixing_type                                   csound                                      eta                                       mu                                   radius                                   energy                                       cv                                       cp                                   gamma1                                   gamma3                                   chiRho                                     chiT                                  opacity                                log_D_mix                             log_conv_vel                                     mmid                                       xm                                    omega                                    shear                                log_am_nu                             am_log_nu_ST                                       h1                                      he4                                      c12                                      o16                                     ne20                                     si28                                     fe56                                       pp                                      cno                                 tri_alfa                                 brunt_N2                brunt_N2_composition_term                                    log_N                                 q_smooth                                   nu_TSF                               log_nu_TSF                                 diff_mag                             log_diff_mag                                     J_in                                  log_Nef 
                 5.9304009672504474E+000                 -4.9329293961018594E+000                  9.2894618130917603E+000                  6.6706058871916938E+005                  0.0000000000000000E+000                                        1                  1.5225290181164740E+007                 -1.3894556063086785E+001                  1.3349602728738164E+000                  8.3996084855706155E-001                  4.4023649657118450E+014                  1.6971861829405401E+009                  7.4186208354817953E+009                  1.3891205884949061E+000                  1.3516386105659937E+000                  3.1779494283211485E-001                  3.0466894675540077E+000                  2.3439020554769774E-001                  1.4649910021608731E+001                  6.4426201934688594E+000                  1.7611407688637446E+001                  0.0000000000000000E+000                  1.6422899977542092E-003                  0.0000000000000000E+000                  1.4649897404399544E+001                 -9.8999999999999986E+001                  2.2940326365493376E-031                  9.9800573083340294E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.1917952031051437E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.3384211860607857E-004                  0.0000000000000000E+000                  1.0000000000000000E-050                  1.0000000000000001E-030                  1.0000000000000000E-050                 -5.0000000000000000E+001                  1.0000000000000000E-050                 -5.0000000000000000E+001                  3.5030059060657585E+051                 -5.0000000000000000E+001 
                 5.9304153501212866E+000                 -4.9329058598476800E+000                  9.2895131128483044E+000                  6.6706058696089161E+005                  0.0000000000000000E+000                                        1                  1.5225766796390455E+007                 -1.3894552334020869E+001                  1.3349602644022012E+000                  8.3996034682136200E-001                  4.4026588216868194E+014                  1.6972585573850083E+009                  7.4191558627807121E+009                  1.3891187542367975E+000                  1.3516378330246750E+000                  3.1778515844617650E-001                  3.0467188083442887E+000                  2.3438786300321726E-001                  1.4649910021608731E+001                  6.4426201934688594E+000                  1.7611407688628649E+001                  8.7980237113704726E-012                  1.6422899977542092E-003                  2.0489553724411000E-007                  1.4649910381234271E+001                 -9.8999999999999986E+001                  2.2940326365493376E-031                  9.9800573083340294E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.2009278171190522E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.3373756759940793E-004                  0.0000000000000000E+000                 -1.5148875838112543E+000                  3.7129799474107238E-007                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3587548577723264E+003                  3.9221415886025253E+000                  3.5030059060330163E+051                 -5.0000000000000000E+001 
                 5.9304400626727674E+000                 -4.9328654240828707E+000                  9.2896012548995071E+000                  6.6706058520289301E+005                  0.0000000000000000E+000                                        1                  1.5226585803262351E+007                 -1.3894545935719261E+001                  1.3349602498487183E+000                  8.3995984511225241E-001                  4.4031638058701744E+014                  1.6973829333162558E+009                  7.4200753542191973E+009                  1.3891156023494933E+000                  1.3516364969536092E+000                  3.1776834532516091E-001                  3.0467692264534505E+000                  2.3438383933840379E-001                  1.4649936685315190E+001                  6.4426192666692277E+000                  1.7611407688613532E+001                  1.7596047422740945E-011                  1.6422899977544454E-003                  9.0899841988884311E-007                  1.4649937044930905E+001                 -9.8999999999999986E+001                  2.2940326365493376E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.2166513779011376E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.3352408546050708E-004                  0.0000000000000000E+000                 -1.5149372362609588E+000                  9.0888314605932402E-007                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3580529488517004E+003                  3.9221051181023276E+000                  3.5030059059675325E+051                 -5.0000000000000000E+001 
                 5.9304750958220724E+000                 -4.9328080722868473E+000                  9.2897262175336888E+000                  6.6706058092039824E+005                  0.0000000000000000E+000                                        1                  1.5227746610153252E+007                 -1.3894536799159628E+001                  1.3349602292257274E+000                  8.3995862261086018E-001                  4.4038795662537325E+014                  1.6975591612285240E+009                  7.4213782739670715E+009                  1.3891111371101506E+000                  1.3516346041900220E+000                  3.1774452590007973E-001                  3.0468406545979141E+000                  2.3437814032414242E-001                  1.4650001635938324E+001                  6.4426170055316625E+000                  1.7611407688592092E+001                  3.9035912519219688E-011                  1.6422899977560097E-003                  1.6127554268747990E-006                  1.4650001995530090E+001                 -9.8999999999999986E+001                  2.2940326365493362E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.2390114722802173E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.3300420678452990E-004                  0.0000000000000000E+000                 -1.5150581990382241E+000                  1.8768424143317784E-006                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3570579685067805E+003                  3.9220534146495600E+000                  3.5030059058550021E+051                 -5.0000000000000000E+001 
                 5.9305276270540999E+000                 -4.9327220820300139E+000                  9.2899135953835650E+000                  6.6706057664012094E+005                  0.0000000000000000E+000                                        1                  1.5229487495659849E+007                 -1.3894523114120672E+001                  1.3349601983144499E+000                  8.3995740026734111E-001                  4.4049531273338456E+014                  1.6978234728335776E+009                  7.4233326378999424E+009                  1.3891044414355496E+000                  1.3516317660326176E+000                  3.1770880754281222E-001                  3.0469477644728373E+000                  2.3436960161947742E-001                  1.4650066559716162E+001                  6.4426147463863401E+000                  1.7611407688559932E+001                  6.0475777615698414E-011                  1.6422899977589750E-003                  3.1087732764927651E-006                  1.4650066919283969E+001                 -9.8999999999999986E+001                  2.2940326365493341E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.2726931522855222E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.3248482699367593E-004                  0.0000000000000000E+000                 -1.5151791130607264E+000                  3.4733423972277127E-006                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3555662542547980E+003                  3.9219758872353974E+000                  3.5030059056954256E+051                 -5.0000000000000000E+001 
